CAAN,BUILDINGNAME,NAME_SHORT,FLOORCOUNT,REGION,CAMPUS,UNDERGROUND,BLDGAREA,BLDGTYPE,OPERHOURS,OPERDATE,ACCESSTYPE,CONDITION,OWNEDBY,MAINTBY,BLDGHEIGHT,SUBFEED,ADDRESS,CITY,STATE,COUNTY,COUNTRY,ZIPCODE,RMSTANDARD,BLDGUSE_P,LAT_Y,LONG_X,NORTH,EAST,Shape__Area,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
1355,Giannini Hall,Giannini Hall,4,5,Central,0,,,,,,,1,1,,"3, 7",Wickson Loop,Berkeley,CA,Alameda,USA,94720,S,200,-122.262377290774,37.8735415276803,2145326.06024179,6053011.43149984,20498.0625,753.3117261000643,{1AD929E2-B444-4ECA-9D43-C802ED93EDDA},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1202,Wellman Hall,Wellman Hall,5,5,Central,0,,,,,,,1,1,,"3, 7",Wellman Hall,Berkeley,CA,Alameda,USA,94720,S,200,-122.26277484843,37.8731221142846,2145175.52839633,6052893.82491642,12991.7392578125,502.16706277231384,{5FAC43B6-CD9F-4A7D-A69A-5EFE08ACBBE6},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1371,Haviland Hall,Haviland Hall,5,3,Central,0,,,,,,,1,1,,5,Library Front Road,Berkeley,CA,Alameda,USA,94720,S,200,-122.261069972697,37.873733112514,2145388.70643138,6053390.01884127,13137.61328125,508.5769754725995,{B9F8501F-A3A5-48F2-848A-D556230535E9},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1382,Morgan Hall,Morgan Hall,5,5,Central,0,,,,,,,1,1,,"3, 7",Macfarlane Lane,Berkeley,CA,Alameda,USA,94720,S,200,-122.264229681164,37.8733322284113,2145259.93553986,6052475.41937924,16680.1884765625,708.7285913712384,{5628A7EA-927C-4BD0-AF24-756BD3F3E62F},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1376,Hilgard Hall,Hilgard Hall,4,5,Central,0,,,,,,,1,1,,"3, 7",Wickson Loop,Berkeley,CA,Alameda,USA,94720,S,200,-122.263402079887,37.8733003943186,2145243.84393556,6052714.0364159,21822.39453125,759.6044655072851,{FE1E1796-615D-44D7-BF64-C11AA7B40B0D},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1793,Barker Hall,Barker Hall,8,5,Central,0,,,,,,,1,1,,"3, 7",Spruce Street,Berkeley,CA,Alameda,USA,94720,S,200,-122.265474825755,37.8739616968308,2145495.87925557,6052120.40992768,14769.4912109375,489.37932897312817,{C69991A5-CD16-4CE3-B424-20E7330DC0A8},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1796,Koshland Hall,Koshland Hall,7,5,Central,0,,,,,,,1,1,,"3, 7",Macfarlane Lane,Berkeley,CA,Alameda,USA,94720,S,200,-122.264882718009,37.8739339005863,2145482.53623884,6052291.09248733,24193.20703125,786.6206848052966,{366BC86A-94C8-412D-90AB-CCACD83D11FA},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1789,Genetics & Plant Biology Building,Genetics & Plant Biology,3,5,Central,0,,,,,,,1,1,,"3, 7",Bayard Rustin Way,Berkeley,CA,Alameda,USA,94720,S,200,-122.264755103787,37.8734350278325,2145300.22045818,6052324.49477177,12093.3916015625,527.4244475998485,{5A94885C-245C-40A0-A793-473BF6575620},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1346,Mulford Hall,Mulford Hall,5,5,Central,0,,,,,,,1,1,,"3, 7",130 Hilgard Way,Berkeley,CA,Alameda,USA,94720,S,200,-122.264493842154,37.8726543842672,2145014.59501609,6052394.53236739,19080.9775390625,786.3236064051503,{998AAEF5-2D11-4878-8B8C-6B4CFFC25AD0},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1206,North Gate Hall,North Gate Hall,3,1,Central,0,,,,,,,1,1,,5,Hearst Ave,Berkeley,CA,Alameda,USA,94720,S,200,-122.259623355353,37.8749177784123,2145812.14682174,6053815.60280535,15871.3671875,895.7777817023922,{86A3F310-2EF8-4B1E-B129-19C9043C7C5F},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1783,Etcheverry Hall,Etcheverry Hall,7,1,Perimeter,0,,,,,,,1,1,,5,2505 Hearst Avenue,Berkeley,CA,Alameda,USA,94709,S,200,-122.2592746495,37.8756884352298,2146090.82287007,6053921.50798344,22643.4140625,693.537365247562,{ED4CEBBE-5786-4DE6-8930-2C659032987A},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
1777,Lower Hearst Parking,Lower Hearst Parking,4,,Perimeter,0,,,,,,,1,1,,5,2455 Hearst Ave.,Berkeley,CA,Alameda,USA,94709,,,-122.261411112647,37.8752052055545,2145926.4956541,6053301.65859272,48068.630859375,1044.423904891928,{8CD7729B-DBEF-4491-84F4-FB2E6884A651},2020-11-03 22:11:44.000001,1678122_CAL,2020-11-03 22:11:44.000001,1678122_CAL
